PlotID,Longitude,Latitude,CellID,CellY,CellX,Country,Author,Date of recording,Releve area (m2),Location uncertainty (m),Dataset
1005598,3.917374,51.815231,8544471,51.81236054375,3.92069370865,Netherlands,,13-5-2004,60,5,Netherlands
1005599,3.917374,51.815231,8544471,51.81236054375,3.92069370865,Netherlands,,15-5-2007,60,5,Netherlands
1005610,3.926273,51.803359,8549872,51.80402721045,3.92902704195,Netherlands,,25-7-1979,30,10,Netherlands
1005611,3.927701,51.808501,8544472,51.81236054375,3.92902704195,Netherlands,,11-7-1979,20,10,Netherlands
1005613,3.927553,51.808589,8544472,51.81236054375,3.92902704195,Netherlands,,10-6-1998,25,10,Netherlands
1005615,3.926779,51.810107,8544472,51.81236054375,3.92902704195,Netherlands,,31-5-1994,50,10,Netherlands
1005631,3.950526,51.825368,8533675,51.82902721035,3.95402704185,Netherlands,,10-5-2005,4,5,Netherlands
1005632,3.950019,51.825803,8533675,51.82902721035,3.95402704185,Netherlands,,10-5-2005,4,5,Netherlands
1005646,3.951581,51.825974,8533675,51.82902721035,3.95402704185,Netherlands,,10-5-2005,4,5,Netherlands
1005745,4.049606,51.878813,8501286,51.87902721015,4.04569370815,Netherlands,,25-5-1994,2,100,Netherlands
1005748,4.048154,51.878796,8501286,51.87902721015,4.04569370815,Netherlands,,1-6-1994,2,100,Netherlands
1005750,4.0481,51.880593,8501286,51.87902721015,4.04569370815,Netherlands,,13-6-1994,3,100,Netherlands
1005759,4.042269,51.891044,8495886,51.88736054345,4.04569370815,Netherlands,,19-6-1996,6,10,Netherlands
1005762,4.044232,51.88855,8495886,51.88736054345,4.04569370815,Netherlands,,19-6-1996,3,10,Netherlands
1005763,4.044232,51.88855,8495886,51.88736054345,4.04569370815,Netherlands,,8-6-1998,3,10,Netherlands
1005765,4.042024,51.889513,8495886,51.88736054345,4.04569370815,Netherlands,,6-6-1994,2,100,Netherlands
1005767,4.042051,51.888615,8495886,51.88736054345,4.04569370815,Netherlands,,6-6-1994,2,100,Netherlands
1005816,4.063348,51.865412,8512088,51.86236054355,4.06236037475,Netherlands,,1-9-1998,6,5,Netherlands
1005820,4.06572,51.864253,8512088,51.86236054355,4.06236037475,Netherlands,,17-7-1996,6,10,Netherlands
1005843,4.054535,51.908533,8479687,51.91236054335,4.05402704145,Netherlands,,16-5-1994,2,100,Netherlands
1005844,4.054535,51.908533,8479687,51.91236054335,4.05402704145,Netherlands,,16-5-1994,2,100,Netherlands
1005891,4.067013,51.859772,8512089,51.86236054355,4.07069370805,Netherlands,,13-6-1994,4,10,Netherlands
1005892,4.067013,51.859772,8512089,51.86236054355,4.07069370805,Netherlands,,8-6-1998,4,10,Netherlands
1005893,4.066873,51.860103,8512089,51.86236054355,4.07069370805,Netherlands,,27-5-2004,4,5,Netherlands
1005894,4.067747,51.859511,8512089,51.86236054355,4.07069370805,Netherlands,,19-6-1996,4,10,Netherlands
1005895,4.067747,51.859511,8512089,51.86236054355,4.07069370805,Netherlands,,8-6-1998,4,10,Netherlands
1005896,4.067715,51.859592,8512089,51.86236054355,4.07069370805,Netherlands,,27-5-2004,4,5,Netherlands
1005897,4.068034,51.859604,8512089,51.86236054355,4.07069370805,Netherlands,,19-6-1996,4,10,Netherlands
1005898,4.068034,51.859604,8512089,51.86236054355,4.07069370805,Netherlands,,8-6-1998,4,10,Netherlands
1005899,4.068623,51.859341,8512089,51.86236054355,4.07069370805,Netherlands,,19-6-1996,4,10,Netherlands
1005900,4.068623,51.859341,8512089,51.86236054355,4.07069370805,Netherlands,,8-6-1998,4,10,Netherlands
1005901,4.068621,51.859395,8512089,51.86236054355,4.07069370805,Netherlands,,27-5-2004,4,5,Netherlands
1005902,4.068621,51.859395,8512089,51.86236054355,4.07069370805,Netherlands,,16-6-2008,4,5,Netherlands
1005903,4.068055,51.858885,8512089,51.86236054355,4.07069370805,Netherlands,,19-6-1996,4,10,Netherlands
1005904,4.068055,51.858885,8512089,51.86236054355,4.07069370805,Netherlands,,8-6-1998,4,10,Netherlands
1005905,4.068055,51.858885,8512089,51.86236054355,4.07069370805,Netherlands,,13-6-2000,4,10,Netherlands
1005906,4.067274,51.858805,8512089,51.86236054355,4.07069370805,Netherlands,,27-5-2004,4,5,Netherlands
1005930,4.067462,51.864272,8512089,51.86236054355,4.07069370805,Netherlands,,18-5-2000,4,10,Netherlands
1005936,4.067478,51.863733,8512089,51.86236054355,4.07069370805,Netherlands,,9-6-1994,4,100,Netherlands
1005957,4.071898,51.901268,8485089,51.90402721005,4.07069370805,Netherlands,,3-7-1996,48,10,Netherlands
1005961,4.072102,51.904237,8485089,51.90402721005,4.07069370805,Netherlands,,2-6-1994,4,100,Netherlands
1005962,4.070649,51.90422,8485089,51.90402721005,4.07069370805,Netherlands,,5-6-1994,4,100,Netherlands
1005969,4.073565,51.901404,8485089,51.90402721005,4.07069370805,Netherlands,,23-5-2005,4.5,5,Netherlands
1005970,4.078713,51.904266,8485090,51.90402721005,4.07902704135,Netherlands,,23-5-2005,4,5,Netherlands
1005971,4.07581,51.900656,8485090,51.90402721005,4.07902704135,Netherlands,,23-5-2005,4,5,Netherlands
1005980,4.078253,51.902597,8485090,51.90402721005,4.07902704135,Netherlands,,3-6-1996,4,10,Netherlands
1005982,4.078253,51.902597,8485090,51.90402721005,4.07902704135,Netherlands,,18-5-2000,4,10,Netherlands
1005983,4.078396,51.902689,8485090,51.90402721005,4.07902704135,Netherlands,,3-6-1996,4,10,Netherlands
1005984,4.078396,51.902689,8485090,51.90402721005,4.07902704135,Netherlands,,9-6-1998,4,10,Netherlands
1005985,4.078396,51.902689,8485090,51.90402721005,4.07902704135,Netherlands,,18-5-2000,4,10,Netherlands
1005986,4.078248,51.902777,8485090,51.90402721005,4.07902704135,Netherlands,,3-7-1996,4,10,Netherlands
1005987,4.078248,51.902777,8485090,51.90402721005,4.07902704135,Netherlands,,9-6-1998,4,10,Netherlands
1005988,4.078248,51.902777,8485090,51.90402721005,4.07902704135,Netherlands,,18-5-2000,4,10,Netherlands
1005989,4.07801,51.902972,8485090,51.90402721005,4.07902704135,Netherlands,,25-5-2004,4,5,Netherlands
1005990,4.07801,51.902972,8485090,51.90402721005,4.07902704135,Netherlands,,23-6-2006,4,5,Netherlands
1005991,4.07801,51.902972,8485090,51.90402721005,4.07902704135,Netherlands,,16-6-2008,4,5,Netherlands
1005993,4.07605,51.903382,8485090,51.90402721005,4.07902704135,Netherlands,,3-6-1996,4,10,Netherlands
